트렌드 코리아 2023,김난도,미래의창,남다른 치열함과 기민함으로 새롭게 무장하라,0,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\1.jpg,
아버지의 해방일지,정지아,창비,유시민 작가 추천. 울고 웃는 사이 번지는 삶의 온기,0,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\2.jpg,
불편한 편의점 2,김호연,나무옆의자,마음이 머물고 사연이 오기는. 편의점의 시간이 다시 열린다!,1,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\3.jpg,
하얼빈,김훈,문학동네,김훈이 그려낸 인간 안중근,0,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\4.jpg,
역행자,자청,웅진지식하우스,라이프해커 자청의 인생 역주행 공식,2,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\5.jpg,
불편한 편의점,김호연,나무옆의자,힘들게 살아낸 오늘을 위로하는 편의점의 밤,3,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\6.jpg,
퀀트 투자 무작정 따라하기,강환국,길벗,가장 쉬운 퀀트 투자 입문서,2,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\7.jpg,
파친코 2,이민진,인플루엔셜,윤여정. 이민호 주연 드라마<파친코> 원작 소설,4,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\8.jpg,
세상에서 가장 쉬운 본질육아,지나영,21세기 북스,지나영 교수가 알려주는 육아원칙,1,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\9.jpg,
파친코 1,이민진,인플루엔셜,윤여정. 이민호 주연 드라마<파친코> 원작 소설,1,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\10.jpg,
작은 땅의 야수들,김주혜,다산책방,빼앗긴 땅의 설움을 딛고 살아가는 사람들의 투쟁과 사랑,1,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\11.jpg,
부자 아빠 가난한 아빠 20주년 특별 기념판,로버트 기요사키,민음인,전세계에서 가장 많이 팔린 경제 경영서,2,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\12.jpg,
사람을 얻는 지혜,발타자르 그라시안,임정재,지혜의 대가들이 사는 법,2,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\13.jpg,
원씽 THE ONE THING,게리 켈러,비즈니스북스,버리고 선택하고 집중하라!,1,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\14.jpg,
세상의 마지막 기차역,무라세 다케시,모모,사랑하는 사람을 사고로 잃은 후 벌어지는 기적 같은 이야기,2,C:\\Users\\KOSTA\\Desktop\\book_info\\book_info\\15.jpg,
